종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"003550","LG","KOSPI",,"71400","-2500","-3.38","74300","74300","71400","219755","15896963200","11231290900200","157300993"
"034220","LG디스플레이","KOSPI",,"9910","10","0.10","9830","9960","9680","816042","8020165500","4955000000000","500000000"
"051900","LG생활건강","KOSPI",,"338000","-19000","-5.32","339000","341500","328500","46253","15443792000","5278950586000","15618197"
"051905","LG생활건강우","KOSPI",,"142100","1800","1.28","140300","142200","138100","3380","473970800","298366943700","2099697"
"373220","LG에너지솔루션","KOSPI",,"371000","-51000","-12.09","403000","403500","371000","1016392","388414887500","86814000000000","234000000"
"003555","LG우","KOSPI",,"57500","200","0.35","57400","58000","57200","2552","146698900","173743150000","3021620"
"032640","LG유플러스","KOSPI",,"10030","30","0.30","10010","10080","9960","669626","6717771850","4379211950830","436611361"
"011070","LG이노텍","KOSPI",,"162100","-100","-0.06","162900","164600","159000","123993","20119276300","3836438044700","23667107"
"066570","LG전자","KOSPI",,"88500","-1200","-1.34","89700","89700","88100","270178","24013856200","14482831539000","163647814"
"066575","LG전자우","KOSPI",,"43350","-1100","-2.47","44300","44500","43050","33240","1456739650","745012753200","17185992"
"037560","LG헬로비전","KOSPI",,"2415","5","0.21","2400","2455","2350","186492","446415685","187034178975","77446865"
"051910","LG화학","KOSPI",,"278000","-9500","-3.30","280500","282000","267500","438875","120849135000","19624671354000","70592343"
"051915","LG화학우","KOSPI",,"184100","-8900","-4.61","184000","188400","181000","41405","7637877800","1415508080000","7688800"
"079550","LIG넥스원","KOSPI",,"240000","-5000","-2.04","243000","245000","233500","233797","55751921500","5280000000000","22000000"
"225190","LK삼양","KOSDAQ","중견기업부","3205","-165","-4.90","3140","3255","3000","8140231","25506189005","162648750200","50748440"
"006260","LS","KOSPI",,"88800","-8800","-9.02","95600","96300","87100","532769","47717320800","2859360000000","32200000"
"010120","LS ELECTRIC","KOSPI",,"139100","-6200","-4.27","144500","145500","133700","310887","42739474800","4173000000000","30000000"
